문제,정답,종류,제한시간,이미지,해설
지구는 태양 주위를 1년에 한 번 돈다,O,,15,,공전 주기는 약 365일
물은 섭씨 90도에서 끓는다,X,,15,,1기압에서는 100도
이 사람은 아인슈타인이다,O,,15,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Albert_Einstein_Head.jpg/480px-Albert_Einstein_Head.jpg,1947년 사진 (퍼블릭 도메인). 콘솔에서 사진을 직접 올리면 인터넷이 끊겨도 나옵니다
이 사람은 AC 전력을 개발한 사람이다,O,,15,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Tesla_circa_1890.jpeg/480px-Tesla_circa_1890.jpeg,니콜라 테슬라 (1890년경 사진)
문어의 심장은 하나다,X,,15,,문어의 심장은 셋
소리는 진공에서도 전달된다,X,,15,,매질이 있어야 전달
올림픽은 4년마다 열린다,O,,15,,
바나나는 나무에서 자란다,X,,15,,바나나는 거대한 풀
빛은 1초에 지구를 약 7바퀴 반 돈다,O,,15,,약 30만 km/s
사람의 뼈는 어른이 되면 더 많아진다,X,,15,,자라면서 합쳐져 206개
[부활전] 한글은 1443년에 창제되었다,O,부활,15,,반포는 1446년
[부활전] 토마토는 채소로만 분류된다,X,부활,15,,식물학적으로는 과일
